web-scraper-order,web-scraper-start-url,pagination,PLZ,Stadt,Stadtteil,Landkreis,Bundesland
"1632988538-17496","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-2","2486124863","Börm","","Kreis Schleswig-Flensburg","Schleswig-Holstein"
"1632988546-18301","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-1","1534515370","Petershagen/Eggersdorf","","Kreis Märkisch-Oderland","Brandenburg"
"1632988423-10871","https://home.meinestadt.de/deutschland/plz-0","","04610","Meuselwitz","","Kreis Altenburger Land","Thüringen"
"1632988423-10920","https://home.meinestadt.de/deutschland/plz-0","","04928","Plessa","","Kreis Elbe-Elster","Brandenburg"
"1632988538-17412","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-2","2457624649","Wiemersdorf","","Kreis Segeberg","Schleswig-Holstein"
"1632988511-16048","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-4","4623646238462404624246244","Bottrop","","","Nordrhein-Westfalen"
"1632988538-17615","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-2","25693","Sankt Michaelisdonn","","Kreis Dithmarschen","Schleswig-Holstein"
"1632988501-15807","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-5","58730","Fröndenberg/Ruhr","","Kreis Unna","Nordrhein-Westfalen"
"1632988501-15764","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-5","57589","Pracht","","Kreis Altenkirchen/Westerwald","Rheinland-Pfalz"
"1632988423-10768","https://home.meinestadt.de/deutschland/plz-0","","02959","Schleife","","Kreis Görlitz","Sachsen"
"1632988440-11577","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-9","91747","Westheim/Mittelfranken","","Kreis Weißenburg-Gunzenhausen","Bayern"
"1632988423-11005","https://home.meinestadt.de/deutschland/plz-0","","06577","Hauteroda","","Kyffhäuserkreis","Thüringen"
"1632988485-14933","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-6","67166","Otterstadt","","Rhein-Pfalz-Kreis","Rheinland-Pfalz"
"1632988522-16674","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-3","36115","Hilders","","Kreis Fulda","Hessen"
"1632988522-16729","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-3","36404364523645736466","Dermbach","","Wartburgkreis","Thüringen"
"1632988522-16898","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-3","38527","Meine","","Kreis Gifhorn","Niedersachsen"
"1632988440-11668","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-9","92559","Winklarn","","Kreis Schwandorf","Bayern"
